Entry	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P9WKC3	biological process involved in interaction with host [GO:0051701]; glycerol metabolic process [GO:0006071]; glycerolipid biosynthetic process [GO:0045017]; response to acidic pH [GO:0010447]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; triglyceride biosynthetic process [GO:0019432]	diacylglycerol O-acyltransferase activity [GO:0004144]; O-acyltransferase activity [GO:0008374]	plasma membrane [GO:0005886]
P9WKC7	biological process involved in interaction with host [GO:0051701]; glycerol metabolic process [GO:0006071]; glycerolipid biosynthetic process [GO:0045017]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; triglyceride biosynthetic process [GO:0019432]	diacylglycerol O-acyltransferase activity [GO:0004144]; long-chain-alcohol O-fatty-acyltransferase activity [GO:0047196]; O-acyltransferase activity [GO:0008374]	plasma membrane [GO:0005886]
P9WKC9	biological process involved in interaction with host [GO:0051701]; glycerol metabolic process [GO:0006071]; glycerolipid biosynthetic process [GO:0045017]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; triglyceride biosynthetic process [GO:0019432]	diacylglycerol O-acyltransferase activity [GO:0004144]; long-chain-alcohol O-fatty-acyltransferase activity [GO:0047196]; O-acyltransferase activity [GO:0008374]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WKD1	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	penicillin binding [GO:0008658]; peptidoglycan L,D-transpeptidase activity [GO:0071972]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WKD3	beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	extracellular region [GO:0005576]; periplasmic space [GO:0042597]; plasma membrane [GO:0005886]
P9WKD7	D-allose catabolic process [GO:0019316]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	ribose-5-phosphate isomerase activity [GO:0004751]	extracellular region [GO:0005576]
P9WKE1	dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]; TMP metabolic process [GO:0046044]	ATP binding [GO:0005524]; dTMP kinase activity [GO:0004798]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P9WKE3	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; ribose phosphate diphosphokinase activity [GO:0004749]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; ribose phosphate diphosphokinase complex [GO:0002189]
P9WKF5	AMP salvage [GO:0044209]; nucleoside diphosphate metabolic process [GO:0009132]; nucleoside monophosphate metabolic process [GO:0009123]; nucleoside triphosphate metabolic process [GO:0009141]; purine nucleobase metabolic process [GO:0006144]	AMP kinase activity [GO:0004017]; ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WKH1	farnesyl diphosphate biosynthetic process [GO:0045337]; geranyl diphosphate biosynthetic process [GO:0033384]; geranylgeranyl diphosphate biosynthetic process [GO:0033386]; isoprenoid biosynthetic process [GO:0008299]	(2E,6E)-farnesyl diphosphate synthase activity [GO:0004337]; dimethylallyltranstransferase activity [GO:0004161]; iron ion binding [GO:0005506]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; prenyltransferase activity [GO:0004659]	cytoplasm [GO:0005737]
P9WKH3	heme catabolic process [GO:0042167]	heme binding [GO:0020037]; heme oxygenase (decyclizing) activity [GO:0004392]; metal ion binding [GO:0046872]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WKI7	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]; IMP catabolic process [GO:0006204]; XMP biosynthetic process [GO:0097293]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WKI9	inositol biosynthetic process [GO:0006021]; inositol metabolic process [GO:0006020]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; signal transduction [GO:0007165]	inositol monophosphate 1-phosphatase activity [GO:0008934]; magnesium ion binding [GO:0000287]	
P9WKJ1	3'-phosphoadenosine 5'-phosphosulfate metabolic process [GO:0050427]; sulfate assimilation [GO:0000103]	3'(2'),5'-bisphosphate nucleotidase activity [GO:0008441]; cobalt ion binding [GO:0050897]; fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; inositol monophosphate 1-phosphatase activity [GO:0008934]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]	plasma membrane [GO:0005886]
P9WKJ5	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	2 iron, 2 sulfur cluster binding [GO:0051537]; dihydroxy-acid dehydratase activity [GO:0004160]; magnesium ion binding [GO:0000287]	plasma membrane [GO:0005886]
P9WKJ7	isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WKK7	cellular response to hypoxia [GO:0071456]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]; methylisocitrate lyase activity [GO:0046421]; zymogen binding [GO:0035375]	cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WKL1	glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]	plasma membrane [GO:0005886]
P9WKL5	cellular response to iron ion starvation [GO:0010106]; methylation [GO:0032259]; response to hypoxia [GO:0001666]; response to salicylic acid [GO:0009751]	methyltransferase activity [GO:0008168]	cytosol [GO:0005829]
P9WKQ1	acquisition of nutrients from host [GO:0044002]; hemolysis in another organism [GO:0044179]; monoatomic ion transport [GO:0006811]; sphingomyelin catabolic process [GO:0006685]; transmembrane transport [GO:0055085]	neutral sphingomyelin phosphodiesterase activity [GO:0061751]; porin activity [GO:0015288]; transmembrane transporter activity [GO:0022857]	cell outer membrane [GO:0009279]; pore complex [GO:0046930]
P9WKY5	symbiont-mediated perturbation of host cellular process [GO:0044068]	chromatin binding [GO:0003682]; histone binding [GO:0042393]; histone H3 acetyltransferase activity [GO:0010484]	extracellular region [GO:0005576]; host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]
P9WKZ1	response to antibiotic [GO:0046677]	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WLH5	cobalamin biosynthetic process [GO:0009236]; RNA catabolic process [GO:0006401]	alpha-ribazole phosphatase activity [GO:0043755]; DNA/RNA hybrid binding [GO:0071667]; double-stranded RNA-specific ribonuclease activity [GO:0032296]; metal ion binding [GO:0046872]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	
P9WLL7		coenzyme F420 binding [GO:0070967]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; protein homodimerization activity [GO:0042803]	cell surface [GO:0009986]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]
P9WLL9	S-adenosylhomocysteine metabolic process [GO:0046498]; S-adenosylmethionine metabolic process [GO:0046500]	identical protein binding [GO:0042802]; methyltransferase activity [GO:0008168]; protein homodimerization activity [GO:0042803]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	extracellular region [GO:0005576]; host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WLP9		nucleotidyltransferase activity [GO:0016779]	
P9WLZ7	regulation of DNA-templated transcription [GO:0006355]	alkaline phosphatase activity [GO:0004035]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphatase activity [GO:0016791]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine phosphatase activity [GO:0004722]	
P9WM39	lipid metabolic process [GO:0006629]	acetylesterase activity [GO:0008126]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	
P9WM67	fatty acid biosynthetic process [GO:0006633]	fatty acyl-CoA hydrolase activity [GO:0047617]; lyase activity [GO:0016829]	plasma membrane [GO:0005886]
P9WMC1	negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]; response to antibiotic [GO:0046677]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	cytosol [GO:0005829]
P9WMF5	negative regulation of DNA replication [GO:0008156]; regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]; DNA replication origin binding [GO:0003688]; DNA-binding transcription factor activity [GO:0003700]	
P9WMF9	dormancy process [GO:0022611]; phosphorelay signal transduction system [GO:0000160]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]; response to hypoxia [GO:0001666]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytosol [GO:0005829]; extracellular space [GO:0005615]; host cell cytoplasmic vesicle [GO:0044161]; host cell endosome lumen [GO:0072493]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WMH1	catechol-containing siderophore biosynthetic process [GO:0019540]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]; response to oxidative stress [GO:0006979]	cadmium ion binding [GO:0046870]; cobalt ion binding [GO:0050897]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; ferrous iron binding [GO:0008198]; iron ion binding [GO:0005506]; manganese ion binding [GO:0030145]; nickel cation binding [GO:0016151]; protein dimerization activity [GO:0046983]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WMH3	negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	cAMP binding [GO:0030552]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WMH7	biological process involved in interaction with host [GO:0051701]; dormancy exit of symbiont in host [GO:0085016]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]; regulation of proteasomal protein catabolic process [GO:0061136]; regulation of trehalose metabolic process [GO:0090062]; response to acidic pH [GO:0010447]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; symbiont-mediated suppression of host innate immune response [GO:0052170]	DNA binding [GO:0003677]; sequence-specific DNA binding [GO:0043565]	
P9WMI9	regulation of gene expression [GO:0010468]; response to cadmium ion [GO:0046686]; response to lead ion [GO:0010288]	cadmium ion binding [GO:0046870]; cadmium ion sensor activity [GO:0097063]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; lead ion binding [GO:0032791]	
P9WMJ9	cellular response to superoxide [GO:0071451]; positive regulation of plasminogen activation [GO:0010756]; protein folding [GO:0006457]; protein refolding [GO:0042026]; response to antibiotic [GO:0046677]; response to copper ion [GO:0046688]; response to heat [GO:0009408]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; fibronectin binding [GO:0001968]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; zymogen binding [GO:0035375]	bacterial extracellular vesicle [GO:0097691]; capsule [GO:0042603]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WMK1	cellular response to hypoxia [GO:0071456]; cellular response to starvation [GO:0009267]; negative regulation of growth [GO:0045926]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to host [GO:0075136]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to iron ion [GO:0010039]; response to nitrosative stress [GO:0051409]; response to salt stress [GO:0009651]	protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WMK5	L-leucine biosynthetic process [GO:0009098]	2-isopropylmalate synthase activity [GO:0003852]; 4-hydroxy-2-oxovalerate aldolase activity [GO:0008701]; manganese ion binding [GO:0030145]	peptidoglycan-based cell wall [GO:0009274]
P9WMK7	bacterial nucleoid DNA packaging [GO:0036386]; biofilm matrix assembly [GO:0098785]; cell wall organization [GO:0071555]; cellular response to iron ion starvation [GO:0010106]; chromosome condensation [GO:0030261]; iron ion transport [GO:0006826]; positive regulation of DNA-templated transcription [GO:0045893]	damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; double-stranded DNA binding [GO:0003690]; ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; structural constituent of chromatin [GO:0030527]; supercoiled DNA binding [GO:0097100]; transcription cis-regulatory region binding [GO:0000976]	bacterial nucleoid [GO:0043590]; cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; protein-DNA complex [GO:0032993]
